Sample ID,WGSPutGenoLabel,Geno.std,Genotype.Replicate,Technical Replicate,Multi-Locus Genotype ID,Raw Reads,Aligned,Alignment Rate,Missing Loci,Symbiodinium,Breviolum,Cladocopium,Durusdinium
s140,OF21,OF21,OF21,no,154,28071666,21319553,0.759,572,0.019698278,0.003484778,0.018981977,0.957834967
s141,OF132,OF132,OF132,no,154,26699385,19958566,0.748,568,0.014628426,0.002416335,0.022028557,0.960926682
s142,OF393,OF393,OF393_wgs_1,yes,142,27735707,16734432,0.603,1012,0.019662317,0.003825124,0.026789392,0.949723167
s143,OF759,OF759,OF759,no,143,25584813,15771784,0.616,1112,0.032541264,0.006747338,0.038646968,0.922064431
s144,OF674,OF674,OF674,no,144,25164474,19620755,0.78,810,0.121320719,0.020415233,0.118782253,0.739481795
s145,OF693,OF693,OF693,no,145,19491793,11592776,0.595,2708,0.104897701,0.031444359,0.160520198,0.703137742
s146,OF423,OF423,OF423,no,146,24231096,5274781,0.218,5194,0.139846183,0.057707197,0.23168046,0.57076616
s147,OF559,OF559,OF656,no,147,24888321,7981836,0.321,12889,0.176302005,0.047100397,0.120278636,0.656318962
s148,15-10,1510,15-10,no,148,24301969,9718912,0.4,2853,0.111177486,0.018955485,0.327674897,0.542192132
s149,OF202,OF202,OF202,no,149,19531786,14989483,0.767,1376,0.009844496,0.001594142,0.006563787,0.981997575
s150,OF211,OF211,OF211,no,150,24166400,17330459,0.717,2319,0.129973993,0.029061142,0.196826837,0.644138027
s151,OF58,OF58,OF682,no,151,24804399,12805732,0.516,7699,0.05384978,0.017252805,0.064750437,0.864146979
s152,OF61,OF61,OF700,no,152,26107356,18596329,0.712,836,0.003520121,0.000800492,0.0023199,0.993359486
s153,OF654,OF654,OF654,no,153,26096616,16427328,0.629,1343,0.11196035,0.020200755,0.143632795,0.724206101
s154,OF657,OF657,OF657,no,154,25706349,19424576,0.756,730,0.006609451,0.001297631,0.005254535,0.986838382
s155,OF8,OF8,OF8,no,155,26672094,15993279,0.6,1047,0.003707256,0.000902114,0.00298099,0.992409639
s156,OF733,OF733,OF733,no,156,27499805,20871891,0.759,718,0.006706591,0.001665617,0.005857691,0.985770101
s157,GB18,GB18,GB18,no,130,46974509,28444683,0.606,629,0.004616841,0.001101703,0.003776901,0.990504555
s158,S59,S59,S59,no,158,68177364,39183609,0.575,513,0.006453805,0.00166374,0.007836278,0.984046178
s159,S630,S630,S630,no,159,44228032,29508821,0.667,503,0.004896774,0.001172471,0.006087535,0.98784322
s160,OF76,OF76,OF76_wgs_2,yes,57,51002107,32359965,0.634,581,0.004363571,0.001081669,0.005570187,0.988984573
s161,M11,M11,M11,no,154,48017234,30716268,0.64,477,0.00680055,0.001569926,0.01195689,0.979672634
s162,M7,M7,M7,no,154,37172221,22423860,0.603,578,0.006597538,0.001561551,0.024356581,0.96748433
s163,M23,M23,M23,no,72,40646690,22332555,0.549,743,0.004789371,0.001269878,0.009800942,0.984139809
s164,M24,M24,M24,no,164,24858200,16963107,0.682,934,0.108027404,0.015089206,0.14186327,0.73502012
s165,M5,M5,M5,no,66,43473566,24714060,0.568,650,0.00544799,0.001247526,0.014902524,0.97840196
s166,M12,M12,M12_wgs_1,yes,154,30306683,20536327,0.678,559,0.010747979,0.00223002,0.013345825,0.973676176
s167,GB22,GB22,GB22,no,167,25544339,17173069,0.672,945,0.005078441,0.001032583,0.004095999,0.989792977
s168,M34,M34,M34,no,168,26624121,19107101,0.718,747,0.005028094,0.001068636,0.003984063,0.989919207
s169,S227,S227,S227,no,169,25143867,17675439,0.703,862,0.067352707,0.014426729,0.07785973,0.840360834
s170,S483,S483,S483,no,170,19766000,14158792,0.716,1576,0.004584534,0.001113896,0.003422334,0.990879236
s171,OF755,OF755,OF755,no,171,24959901,17971133,0.72,749,0.134391121,0.023580585,0.15731282,0.684715474
s172,M33,M33,M33_wgs_1,yes,154,27720841,19812171,0.715,641,0.00735901,0.001658669,0.008776811,0.98220551
s173,M10,M10,M10,no,173,27026091,9984275,0.369,13880,0.088924609,0.022450758,0.066457093,0.82216754
s174,M19,M19,M19,no,174,25776799,18589807,0.721,921,0.004435064,0.000928423,0.002822513,0.991814
s175,M30,M30,M30,no,175,29501898,20318175,0.689,730,0.00701856,0.001370887,0.007077319,0.984533235
s176,GB14,GB14,GB14_wgs_2,yes,91,25704248,7324368,0.285,3900,0.102412534,0.015997453,0.071306709,0.810283304
s177,GB1,GB1,GB1_wgs_2,yes,154,26660874,20733729,0.778,576,0.089267954,0.013206464,0.096406854,0.801118728
s178,M12,M12,M12_wgs_2,yes,154,27689412,19591634,0.708,652,0.007389523,0.001509914,0.010577514,0.98052305
s179,OF393,OF393,OF393_wgs_2,yes,142,25686301,14642655,0.57,1299,0.019930514,0.004241433,0.027661272,0.948166781
s180,M33,M33,M33_wgs_2,yes,154,26435927,18949912,0.717,758,0.006947028,0.001557372,0.008589402,0.982906199
